Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Lawrence Chung,University of Texas - Dallas,University of Toronto - Canada,University of Toronto - Canada,University of Toronto - Canada,,1994,Associate,Security & Privacy,Male,https://explorer.utdallas.edu/images/128/13262_0_6321.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Jorge Arturo Cobb,University of Texas - Dallas,University of Texas - El Paso,University of Texas - Austin - USA,University of Texas - Austin - USA,,1998,Associate,Networks & Communications,Male,https://explorer.utdallas.edu/images/128/12062_0_6031.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Kendra Cooper,University of Texas - Dallas,University of British Columbia - Canada,University of British Columbia - Canada,University of British Columbia - Canada,,2001,Associate,Software Engineering,Female,http://www2.cs.uh.edu/~acheng/utdallas_cheng.jpg,http://www.utdallas.edu/~kcooper/,2,2016-07-24
Ovidiu Daescu,University of Texas - Dallas,Technical Military Academy (Burhest Romania),University of Notre Dame - USA,University of Notre Dame - USA,,2000,Full,Bioinformatics & Computational Biology,Male,http://www.utdallas.edu/~daescu/homepage/daescu-14.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Ding-Zhu Du,University of Texas - Dallas,,Chinese Academy of Sciences - China,University of California - Santa Barbara - USA,,2005,Full,Algorithms & Theory,Male,http://www.utdallas.edu/~dzdu/images/du3.gif,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Andras Farago,University of Texas - Dallas,Technical University of Budapest,Technical University of Budapest - Hungary,Technical University of Budapest,,1998,Full,Networks & Communications,Male,http://www.utdallas.edu/~farago/image017.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Paul A. Fishwick,University of Texas - Dallas,Pennsylvania State University - USA,College of William and Mary - USA,University of Pennsylvania - USA,,2013,Full,Simulation,Male,http://www.utdallas.edu/atec/people/img/tn/fishwick-paul.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Vibhav Gogate,University of Texas - Dallas,,University of Maine - USA,University of California - Irvine - USA,,2009,Assistant,Machine Learning & Pattern Recognition,Male,http://www.hlt.utdallas.edu/~vgogate/vibhav.jpg,http://cs.utdallas.edu/people/faculty/,6101,2017-02-13
Xiaohu Guo,University of Texas - Dallas,University of Science and Technology of China - China,Stony Brook University - USA,Stony Brook University - USA,,2006,Associate,Graphics,Male,http://www.utdallas.edu/~xxg061000/pic/newphoto.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Gopal Gupta,University of Texas - Dallas,Indian Institute of Technology - Kanpur - India,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,,2000,Full,Programming Languages,Male,http://www.utdallas.edu/~gupta/Gupta_Gopal.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Zygmunt Haas,University of Texas - Dallas,Technion-Israel Institute of Technology - Israel,Tel Aviv University - Israel,Stanford University - USA,,2013,Full,Networks & Communications,Male,http://www.utdallas.edu/~zjh130030/index_files/image003.gif,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Kevin Hamlen,University of Texas - Dallas,Carnegie Mellon University - USA,Cornell University - USA,Cornell University - USA,,2006,Associate,Programming Languages,Male,http://www.utdallas.edu/~hamlen/webpic.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Sandra Harabagiu,University of Texas - Dallas,Polytechnic University of Bucharest - Romania,Polytechnic University of Bucharest - Romania,University of Southern California - USA,,2002,Full,Natural Language & Speech,Female,http://www.hlt.utdallas.edu/~sanda/images/sh-thumb.gif,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
D. T. Huynh,University of Texas - Dallas,,Saarland University - Germany,University of Saarlandes,,1986,Full,Networks & Communications,Male,http://www.utdallas.edu/~huynh/Huynh.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Jason P. Jue,University of Texas - Dallas,University of California - Berkeley - USA,University of California - Los Angeles - USA,University of California - Davis - USA,,2004,Full,Networks & Communications,Male,http://www.utdallas.edu/~jjue/images/jue.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Murat Kantarcioglu,University of Texas - Dallas,Middle East Technical University Ankara Turkey,Purdue University - USA,Purdue University - USA,,2005,Associate,Data Mining,Male,http://collaboratecom.org/2010/images/people/MuratKantarcioglu.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Latifur Khan,University of Texas - Dallas,Bangladesh University of Engineering and Technology - Bangladesh,University of Southern California - USA,University of Southern California - USA,,2000,Full,Data Mining,Male,http://www.utdallas.edu/~lkhan/Home%20-%20LKHAN1_files/photo_about_w211.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Zhiqiang Lin,University of Texas - Dallas,,,Purdue University - USA,,2011,Assistant,Security & Privacy,Male,https://www.utdallas.edu/~zxl111930/img/zlin.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Cong Liu,University of Texas - Dallas,Wuhan University of Technology,Auburn University - USA,University of North Carolina - Chapel Hill - USA,,2013,Assistant,Real-Time & Embedded Systems,Male,http://www.utdallas.edu/~cxl137330/pic/head1.jpeg,http://www.utdallas.edu/~cxl137330/,2,2016-07-24
Yang Liu,University of Texas - Dallas,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,Purdue University - USA,,2005,Associate,Natural Language & Speech,Female,http://www.hlt.utdallas.edu/~yangl/Yang_Liu_web.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Andrian Marcus,University of Texas - Dallas,Babe?-Bolyai University,The University of Memphis - USA,Kent State University,,2014,Associate,Software Engineering,Male,http://www.utdallas.edu/~amarcus/images/andi.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Ryan McMahan,University of Texas - Dallas,Virginia Polytechnic Institute and State University - USA,Virginia Polytechnic Institute and State University - USA,Virginia Polytechnic Institute and State University - USA,,2012,Assistant,Graphics,Male,https://rymcmaha.files.wordpress.com/2013/03/headshot-200x250.png?w=200&h=250,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Neeraj Mittal,University of Texas - Dallas,Indian Institute of Technology - Delhi - India,University of Texas - Austin - USA,University of Texas - Austin - USA,,2002,Associate,Algorithms & Theory,Male,http://www.utdallas.edu/eecs/cs/images/people/profiles/neeraj.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Dan I. Moldovan,University of Texas - Dallas,Polytechnic University of Bucharest - Romania,Columbia University - USA,Columbia University - USA,,2001,Full,Natural Language & Speech,Male,http://www.hlt.utdallas.edu/~moldovan/danm.jpeg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Vincent Ng,University of Texas - Dallas,Carnegie Mellon University - USA,Cornell University - USA,Cornell University - USA,,2011,Associate,Natural Language & Speech,Male,https://explorer.utdallas.edu/images/128/7040_0_6141.jpg,http://www.hlt.utdallas.edu/~vince/,2,2016-07-24
Simeon Ntafos,University of Texas - Dallas,Wilkes College,Northwestern University - USA,Northwestern University - USA,,1979,Full,Graphics,Male,https://explorer.utdallas.edu/images/128/5679_0_18271.jpg,https://explorer.utdallas.edu/editprofile.php?pid=5679&onlyview=1,6114,2017-01-30
Ivor Page,University of Texas - Dallas,Brunel University,Brunel University UK,Brunel University,,1981,Full,Algorithms & Theory,Male,http://www.utdallas.edu/~ivor/studioivor.jpg,http://cs.utdallas.edu/faculty-profiles/page-ivor-p/,2,2016-07-24
Prabhakaran,University of Texas - Dallas,Madurai-Kamaraj University,Indian Institute of Technology - Madras - India,Indian Institute of Technology - Madras - India,,2002,Full,Multimedia,Male,http://www.utdallas.edu/~praba/images/bp1.JPG,http://www.utdallas.edu/~praba/,2,2016-07-24
Ravi Prakash,University of Texas - Dallas,Indian Institute of Technology - Delhi - India,Ohio State University - USA,Ohio State University - USA,,2012,Full,Networks & Communications,Male,http://www.utdallas.edu/~ravip/images/Ravi_Prakash_2014.jpg,http://www.utdallas.edu/~ravip/,2,2016-07-24
Balaji Raghavachari,University of Texas - Dallas,,,Indian Institute of Technology - Madras - India,,1993,Full,Algorithms & Theory,Male,http://www.utdallas.edu/~rbk/rbk.jpg,http://www.utdallas.edu/~rbk/,2,2016-07-24
Nicholas Ruozzi,University of Texas - Dallas,Cornell University - USA,Yale University - USA,Yale University - USA,,2015,Assistant,Graphics,Male,http://datascience.columbia.edu/files/seasdepts/cvv2104@columbia.edu/person/person_images/photo.jpg,http://www.nruozzi.me/,2,2016-07-24
Kamil Sarac,University of Texas - Dallas,Middle East Technical University - Ankara - Turkey,University of California - Santa Barbara - USA,University of California - Santa Barbara - USA,,2002,Associate,Networks & Communications,Male,http://utdallas.edu/~ksarac/Sarac.gif,http://www.utdallas.edu/~kxs028100/,2,2016-07-24
Haim Schweitzer,University of Texas - Dallas,Tel Aviv University - Israel,,Hebrew University of Jerusalem - Israel,,,Associate,Computer Vision,Male,http://www.utdallas.edu/~haim/sme.jpg,http://www.utdallas.edu/~haim/,2,2016-07-24
Edwin Sha,University of Texas - Dallas,National Taiwan University - Taipei - Taiwan,Princeton University - USA,Princeton University - USA,,2000,Full,Networks & Communications,Male,http://www.utdallas.edu/~edsha/main_files/image002.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
S. Venkatesan,University of Texas - Dallas,Indian Institute of Technology - Madras - India,University of Pittsburgh - USA,University of Pittsburgh - USA,,1995,Full,Networks & Communications,Male,http://www.utdallas.edu/~venky/venkatesan.gif,http://www.utdallas.edu/~venky/,2,2016-07-24
Eric W. Wong,University of Texas - Dallas,Eastern Michigan University,Purdue University - USA,Purdue University - USA,,2004,Full,Software Engineering,Male,http://www.utdallas.edu/~wew021000/eric-photo-01-Good.jpeg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Weili Wu,University of Texas - Dallas,,University of Minnesota - USA,University of Minnesota - USA,,2002,Full,Algorithms & Theory,Female,https://explorer.utdallas.edu/images/128/7026_0_6571.jpg,http://www.utdallas.edu/~weiliwu/,2,2016-07-24
I-Ling Yen,University of Texas - Dallas,National Tsing-Hua University,University of Houston - USA,University of Houston - USA,,1997,Full,World Wide Web,Female,http://www.utdallas.edu/~ilyen/image/mypic/ilyen3.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Rym Zalili-Wenkstern,University of Texas - Dallas,Academie de Paris,University of Tunis - Tunisia,University of Ottawa,,1995,Associate,Software Engineering,Female,http://utdallas.edu/~rmili/assets/img/user.png,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Kang Zhang,University of Texas - Dallas,University of Electronic Science and Technology,University of Texas - Dallas - USA,University of Brighton UK,,2000,Full,Software Engineering,Male,http://www.utdallas.edu/~kzhang/Pictures/KZ09small.jpg,http://cs.utdallas.edu/people/faculty/,2,2016-07-24
Lingming Zhang,University of Texas - Dallas,Zhongshan University China,Peking University - Beijing - China,University of Texas - Austin - USA,,2014,Assistant,Software Engineering,Male,http://www.utdallas.edu/~lxz144130/images/lingming.JPG,http://www.utdallas.edu/~lxz144130/,2,2016-07-24
S. Q. Zheng,University of Texas - Dallas,Jilin University - China,University of Texas - Dallas - USA,University of California - Santa Barbara - USA,,2002,Full,Networks & Communications,Male,https://explorer.utdallas.edu/images/128/13234_0_6541.jpg,http://www.utdallas.edu/~sizheng/sq.d/sq.htm,2,2016-07-24
Ronald Olsson,University of California - Davis,,,University of Arizona - USA,,,Full,Programming Languages,Male,http://faculty.engineering.ucdavis.edu/olsson/wp-content/uploads/sites/178/2013/03/olsson.gif,http://faculty.engineering.ucdavis.edu/olsson/,2,2016-07-24
Cindy Rubio Gonzalez,University of California - Davis,Instituto Tecnol_gico de Saltillo,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,2014,Assistant,Algorithms & Theory,Female,http://web.cs.ucdavis.edu/~rubio/cindy_rubio.jpg,http://web.cs.ucdavis.edu/~rubio/http://www.pl-enthusiast.net/2014/08/11/spotlight-cindy-rubio-gonzalez/,2,2016-07-24
Yong Jae Lee,University of California - Davis,University of Illinois at Urbana-Champaign - USA,University of Texas - Austin - USA,University of Texas - Austin - USA,,2014,Assistant,Computer Vision,Male,http://web.cs.ucdavis.edu/~yjlee/IMAGES/yongjae.jpg,http://web.cs.ucdavis.edu/~yjlee/,2,2016-07-24
Bertram Lud?aescher,,,,,,,,,,,,,Not Applied
Dan Gusfield,University of California - Davis,,,University of California - Berkeley - USA,,1987,Full,Algorithms & Theory,Male,http://faculty.engineering.ucdavis.edu/gusfield/wp-content/uploads/sites/164/2013/03/gusfield.jpg,http://faculty.engineering.ucdavis.edu/gusfield/http://csiflabs.cs.ucdavis.edu/~gusfield/,2,2016-07-24
Alexander A. Razborov,University of Chicago,Moscow State University - Russia,,Steklov Mathematical Institute - Russia,,2008,Full,Algorithms & Theory,Male,https://www.cs.uchicago.edu/sites/cs/files/styles/columnwidth-wider/public/uploads/images/razborov.jpg?itok=nmQpkjSt,https://www.cs.uchicago.edu/directory/alexander-razborov,2,2016-07-24
Michael J. O'Donnell,University of Chicago,Purdue University - USA,,Cornell University - USA,,1985,Full,Computer Vision,Male,https://www.cs.uchicago.edu/sites/cs/files/styles/columnwidth-wider/public/uploads/images/odonnell.jpg?itok=wmnbD1bQ,https://www.cs.uchicago.edu/directory/michael-j-odonnell,2,2016-07-24
Ariel Feldman,University of Chicago,Brown University - USA,Brown University - USA,Princeton University - USA,,2014,Assistant,Security & Privacy,Male,https://www.cs.uchicago.edu/sites/cs/files/styles/columnwidth-wider/public/uploads/images/arielfeldman.jpg?itok=WNAUEPax,https://arifeldman.com/ajf-cv.pdf;,2,2016-07-24
David Mcallester,University of Chicago,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2002,Full,Machine Learning & Pattern Recognition,Male,https://www.cs.uchicago.edu/sites/cs/files/styles/columnwidth-wider/public/uploads/images/dam.jpg?itok=T6lEMjY4,http://ttic.uchicago.edu/~dmcallester/bio.html,2,2016-07-24
John H. Reppy,University of Chicago,,,Cornell University - USA,,2002,Full,Programming Languages,Male,https://www.cs.uchicago.edu/sites/cs/files/styles/columnwidth-wider/public/uploads/images/jhr.jpg?itok=JBo7YP3w,http://people.cs.uchicago.edu/~jhr/,2,2016-07-24
Aaron Elmore,University of Chicago,DePaul University - USA,University of Chicago - USA,University of California - Santa Barbara - USA,,2015,Assistant,Databases,Male,http://people.cs.uchicago.edu/~aelmore/images/aaron3.jpg,http://people.cs.uchicago.edu/~aelmore/AElmore_CV.pdf,2,2016-07-24
L??aszlo Babai,,,,,,,,,,,,,Not Applied
Seiichi Mita,University of Chicago,Kyoto University - Japan,Kyoto University - Japan,Kyoto University - Japan,,1999,Full,Artificial Intelligence,Male,http://www.ttic.edu/i/mita.jpg,https://www.cs.uchicago.edu/directory/seiichi-mita;,2,2016-07-24
John A. Goldsmith,University of Chicago,Swarthmore College - USA,Swarthmore College - USA,Massachusetts Institute of Technology - USA,,1984,Full,Natural Language & Speech,Male,http://hum.uchicago.edu/~jagoldsm/Webpage/jag-2014.jpg,http://hum.uchicago.edu/~jagoldsm/Webpage/index.html,2,2016-07-24
Gordon L. Kindlmann,University of Chicago,Cornell University - USA,Cornell University - USA,University of Utah - USA,,2009,Assistant,Computer Vision,Male,http://lmi.bwh.harvard.edu/~gk/images/glk-aug08-vsm.png,http://people.cs.uchicago.edu/~glk/kindlmann-cv.pdf,2,2016-07-24
Todd F. Dupont,University of Chicago,Rice University - USA,,Rice University - USA,,1963,Full,Scientific Computing,Male,http://people.cs.uchicago.edu/~dupont/Images/Dupont.jpg,http://people.cs.uchicago.edu/~dupont/,2,2016-07-24
Andrew Drucker,University of Chicago,,,Massachusetts Institute of Technology - USA,,2015,Assistant,Scientific Computing,Male,http://people.csail.mit.edu/andyd/andy4.jpg,http://people.cs.uchicago.edu/~adrucker1/,2,2016-07-24
Ravi Chugh,University of Chicago,University of Pennsylvania - USA,University of Pennsylvania - USA,University of California - San Diego - USA,,2014,Assistant,Programming Languages,Male,http://people.cs.uchicago.edu/~rchugh/static/images/ravi09.jpg,http://people.cs.uchicago.edu/~rchugh/static/other/ChughCV.pdf,2,2016-07-24
Timothy X. Brown,University of Colorado Boulder,Pennsylvania State University - USA,California Institute of Technology - USA,California Institute of Technology - USA,,1995,Full,Networks & Communications,Male,http://ecee.colorado.edu/~timxb/timxb/cellpic2.jpg,http://ecee.colorado.edu/~timxb/https://www.linkedin.com/pub/timothy-brown/55/b76/330,2,2016-07-24
Douglas C. Sicker,University of Colorado Boulder,University of Pittsburgh - USA,University of Pittsburgh - USA,University of Pittsburgh - USA,,2013,Full,Networks & Communications,Male,http://spot.colorado.edu/~sicker/images/sicker_1.jpg,http://spot.colorado.edu/~sicker/pe.htmls://www.linkedin.com/pub/douglas-sicker/0/7a6/524,4416,2016-10-09
Michael C. Mozer,University of Colorado Boulder,Brown University - USA,University of California - San Diego - USA,University of California - San Diego - USA,,1988,Full,Machine Learning & Pattern Recognition,Male,http://www.cs.colorado.edu/~mozer/mozer.jpg,http://www.cs.colorado.edu/~mozer/About%20Me/Curriculum%20Vitae/vita.pdf,2,2016-07-24
Rob Knight,University of Colorado Boulder,,,Princeton University - USA,,,Full,Bioinformatics & Computational Biology,Male,http://chem.colorado.edu/Faculty/kight_robert.jpg,http://chem.colorado.edu/index.php?option=com_content&view=article&id=263:rob-knight&catid=41:faculty&Itemid=93,4416,2016-10-09
Rick Han,University of Colorado Boulder,Stanford University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2001,Associate,Security & Privacy,Male,http://www.cs.colorado.edu/~rhan/Rick_Han_4x6_crop.jpg,http://www.cs.colorado.edu/~rhan/cv.htm,2,2016-07-24
Lijun Chen,University of Colorado Boulder,University of Science and Technology of China - USA,Chinese Academy of Sciences - USA,California Institute of Technology - USA,,2012,Assistant,Networks & Communications,Male,https://www.colorado.edu/cs/sites/default/files/styles/medium/public/pictures/picture-247-1402368968.png,http://spot.colorado.edu/~lich1539/,2,2016-07-24
Eliana Colunga,University of Colorado Boulder,El Instituto Tecnol?ogico y de Estudios Superiores de Monterrey,El Instituto Tecnol?ogico y de Estudios Superiores de Monterrey,Indiana University - USA,,2003,Assistant,Natural Language & Speech,Female,http://psych.colorado.edu/~cognitive/images/colunga.jpg,http://psych.colorado.edu/~cognitive/co-faculty.html,4415,2016-10-13
James H. Martin,University of Colorado Boulder,Columbia University - USA,Columbia University - USA,University of California - Berkeley - USA,,2011,Full,Machine Learning & Pattern Recognition,Male,http://www.cs.colorado.edu/~martin/_Media/homeimg.gif,http://www.cs.colorado.edu/~martin/cv.pdf,4416,2016-10-09
Sangtae Ha,University of Colorado Boulder,North Carolina State University - USA,Princeton University - USA,North Carolina State University - USA,,2014,Assistant,Hardware & Architecture,Male,https://media.licdn.com/mpr/mpr/shrink_200_200/p/6/000/2c5/2fa/28a60bf.jpg,https://www.linkedin.com/pub/sangtae-ha/47/36a/31b,2,2016-07-24
Debra S. Goldberg,University of Colorado Boulder,Yale University - USA,University of Denver - USA,Cornell University - USA,,2005,Assistant,Bioinformatics & Computational Biology,Female,http://www.cs.colorado.edu/~debra/Debra_friend.jpg,http://www.cs.colorado.edu/~debra/CV.html,2,2016-07-24
Jed Brown,University of Colorado Boulder,University of Alaska Fairbanks - USA,University of Alaska Fairbanks - USA,Eidgenossische Technische Hochschule - Zurich - Switzerland,,2013,Assistant,Scientific Computing,Male,https://www.colorado.edu/cs/sites/default/files/styles/medium/public/pictures/picture-215-1384800203.jpg,https://www.colorado.edu/cs/users/jeka2967,2,2016-07-24
Gabe Sibly,University of Colorado Boulder,Emory University - USA,Emory University - USA,University of Southern California - USA,,2014,Assistant,Algorithms & Theory,Male,https://www.colorado.edu/cs/sites/default/files/styles/medium/public/pictures/picture-253-1404770579.png,https://www.colorado.edu/cs/users/gasi6462s://www.linkedin.com/pub/gabe-sibley/a/b02/412,2,2016-07-24
Clayton Lewis,University of Colorado Boulder,Princeton University - USA,Massachusetts Institute of Technology - USA,University of Michigan - USA,,1992,Full,Human-Computer Interaction,Male,https://www.colorado.edu/cs/sites/default/files/styles/medium/public/pictures/picture-121-1349904903.jpg,http://spot.colorado.edu/~clayton/vita_cl%208302013.htm;,2,2016-07-24
John K. Bennett,University of Colorado Boulder,Rice University - USA,Rice University - USA,University of Washington - USA,,,Full,Distributed & Parallel Computing,Male,http://redwood.colorado.edu/jkb/jkbweb/images/audobon.jpg,http://redwood.colorado.edu/jkb/jkbweb/,2,2016-07-24
Y. Richard Yang,Yale University,Tsinghua University - Beijing - China,University of Texas - Austin - USA,University of Texas - Austin - USA,,2001,Full,Computer Education,Male,http://seas.yale.edu/faculty-research/faculty-directory/y-richard-yang,http://cpsc.yale.edu/people/yang-yang,8906,2017-12-25
Mark Gerstein,Yale University,Harvard University - USA,University of Cambridge - United Kingdom,University of Cambridge - United Kingdom,,1997,Full,Bioinformatics & Computational Biology,Male,http://www.gersteinlab.org/about/images/gersteinon.gif,http://www.gersteinlab.org/about/,2,2016-07-24
Jakub Szefer,Yale University,N,National Taiwan University - Taipei - Taiwan,Princeton University - USA,,2013,Assistant,Security & Privacy,Male,http://cpsc.yale.edu/sites/default/files/styles/people_thumbnail/public/pictures/picture-382-1414694076.jpg,http://cpsc.yale.edu/people/jakub-szefer,8258,2017-09-19
Steven W. Zucker,Yale University,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Drexel University - USA,,1996,Full,Artificial Intelligence,Male,http://www.cs.yale.edu/homes/vision/zucker/images/steve_sm01.jpg,http://cpsc.yale.edu/people/steven-zucker;,8079,2017-08-11
Michael J. Fischer - duplicate entry within Yale,,,,Not Applied
Wenjun Hu,Yale University,University of Cambridge - United Kingdom,University of Cambridge - United Kingdom,University of Cambridge - United Kingdom,,2014,Assistant,Networks & Communications,Female,http://seas.yale.edu/sites/default/files/imagecache/person/hu.jpg,http://seas.yale.edu/faculty-research/faculty-directory/wenjun-hu;,8361,2017-10-05
Frederick Shic,Yale University,California Institute of Technology - USA,Yale University - USA,Yale University - USA,,2002,Assistant,Artificial Intelligence,Male,http://yale-faculty.photobooks.com/photos/11527195.jpg,http://childstudycenter.yale.edu/faculty_people/frederick_shic-2.profile,8114,2017-08-21
Sahand Negahban,Yale University,University of California - Berkeley - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2014,Assistant,Scientific Computing,Male,http://www.stat.yale.edu/~snn7/,https://www.linkedin.com/pub/sahand-negahban/4/403/3bb;http://statistics.yale.edu/people/sahand-negahban,2,2016-07-24
Dirk Bergemann,Yale University,Goethe University of Frankfurt - Germany,University of Pennsylvania - USA,University of Pennsylvania - USA,,1995,Full,Algorithms & Theory,Male,http://dirkbergemann.commons.yale.edu/files/2010/11/Dirk_photo.jpg,http://dirkbergemann.commons.yale.edu/cv/,2,2016-07-24
Ronald Coifman,Yale University,University of Geneva - Switzerland,University of Geneva - Switzerland,University of Geneva - Switzerland,,,Full,Scientific Computing,Male,http://cpsc.yale.edu/sites/default/files/styles/people_thumbnail/public/pictures/picture-27-1409064723.jpg,http://cpsc.yale.edu/people/ronald-coifman,2,2016-07-24
Charles W. Anderson,Colorado State University,,,University of Massachusetts - Amherst - USA,,1991,Full,Machine Learning & Pattern Recognition,Male,http://www.cs.colostate.edu/~anderson/images/chuckhat.png,http://www.cs.colostate.edu/~anderson/,10538,2018-09-30
Asa Ben-Hur,Colorado State University,Hebrew University of Jerusalem - Israel,Hebrew University of Jerusalem - Israel,Israel Institute of Technology - Israel,,2011,Associate,Machine Learning & Pattern Recognition,Male,http://www.cs.colostate.edu/~asa/_static/asa11.jpg,http://www.cs.colostate.edu/~asa/pdfs/cv.pdf,2,2016-07-24
J. Ross Beveridge,Colorado State University,University of California - San Diego - USA,University of Massachusetts - Amherst - USA,University of Massachusetts - Amherst - USA,,2010,Full,Human-Computer Interaction,Male,http://www.cs.colostate.edu/~ross/media/ross_august_14.png,http://www.cs.colostate.edu/~ross/biography/vitaBeveridgeFeb14.pdf,2,2016-07-24
James M. Bieman,Colorado State University,Wayne State University - USA,University of Michigan - USA,University of Louisiana at Lafayette - USA,,1989,Full,Software Engineering,Male,http://www.cs.colostate.edu/~bieman/myPhoto.jpg,https://www.linkedin.com/pub/jim-bieman/8/664/b3a,2,2016-07-24
A. P. Willem Bohm,Colorado State University,,Technical University Delft,University of Utrecht,,1996,Full,Programming Languages,Male,http://www.cs.colostate.edu/~bohm/pics/bohm_web.jpg,http://www.cs.colostate.edu/~bohm/CV/bio3.pdf,2,2016-07-24
Christina Boucher,Colorado State University,,,University of Waterloo - Canada,,,Assistant,Bioinformatics & Computational Biology,Female,http://christinaboucher.com/files/cache/db10225da5f02bd9891e005fadb1a4f9.jpg,http://christinaboucher.com/,10538,2018-09-30
Hamid Reza Chitsaz,Colorado State University,Sharif University of Technology - Tehran - Iran,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,2014,Assistant,Bioinformatics & Computational Biology,Male,http://chitsazlab.org/chitsaz/me.jpg,http://chitsazlab.org/chitsaz/,2,2016-07-24
Bruce A. Draper,Colorado State University,Yale University - USA,University of Massachusetts - Amherst - USA,University of Massachusetts - Amherst - USA,,1996,Full,Computer Vision,Male,http://www.cs.colostate.edu/~draper/pics/BrantCrop_tweak.png,http://www.cs.colostate.edu/~draper/CV/vita_2012.pdf,2,2016-07-24
Robert B. France,Colorado State University,University of the West Indies,,Massey University - New Zealand,,1998,Full,Software Engineering,Male,http://www.cs.colostate.edu/~france/images/IMG_2760.jpg,http://www.cs.colostate.edu/~france/detailedCV.pdf,2,2016-07-24
Sudipto Ghosh,Colorado State University,Indian Institute of Technology - Kanpur - India,Iowa State University - USA,Purdue University - USA,,2000,Associate,Software Engineering,Male,http://www.cs.colostate.edu/~ghosh/pics/SudiptoGhoshDepartment.jpg,http://www.cs.colostate.edu/~ghosh/CV/vita.pdf,2,2016-07-24
Adele E. Howe,Colorado State University,University of Pennsylvania - USA,University of Massachusetts - Amherst - USA,University of Massachusetts - Amherst - USA,,1992,Full,Artificial Intelligence,Female,http://www.cs.colostate.edu/~howe/images/howe_adele.jpg,http://www.cs.colostate.edu/~howe/vita-prof.pdf,2,2016-07-24
Yashwant K. Malaiya,Colorado State University,GD College - Damoh - India,Saugor University - India,Utah State University,,1982,Full,Software and hardware testing,Male,http://www.cs.colostate.edu/~malaiya/malaiya.jpg,http://www.cs.colostate.edu/~malaiya/Malaiya2011.pdf,2,2016-07-24
Daniel F. Massey,Colorado State University,,,University of California - Los Angeles - USA,,,Associate,Security & Privacy,Male,http://www.cs.colostate.edu/~massey/images/DanielMassey.jpg,http://www.cs.colostate.edu/~massey/pmwiki/pmwiki.php/Main/Bio1,2,2016-07-24
Ross M. McConnell,Colorado State University,Williams College - USA,University of Denver,University of Colorado Boulder - USA,,,Associate,Algorithms & Theory,Male,http://www.cs.colostate.edu/~rmm/McConnell-web.jpg,http://www.cs.colostate.edu/~rmm/,2,2016-07-24
Sangmi Lee Pallickara,Colorado State University,Sookmyung University - Korea,Syracuse University - USA,Florida State University - USA,,2010,Assistant,Databases,Female,http://www.cs.colostate.edu/~sangmi/images/sangmi-small.jpg,http://www.cs.colostate.edu/~sangmi/SangmiPallickara-CV.pdf,2,2016-07-24
Shrideep Pallickara,Colorado State University,Bombay University - India,Syracuse University - USA,Syracuse University - USA,,2009,Associate,Cloud Computing,Male,http://www.cs.colostate.edu/~shrideep/shri_christmas.jpg,http://www.cs.colostate.edu/~shrideep/ShrideepPallickara-CV.pdf,2,2016-07-24
